activation,hidden_nodes,lr,dropout,lambda1,lambda2,optimizer,momentum,train_acc,val_acc,final_loss
sigmoid,"[128, 128, 128]",0.001,0.5,0.0001,0.0001,adam,0.0,0.5185416666666667,0.5083333333333333,4.9818618228432845
sigmoid,"[128, 128, 128]",0.001,0.5,0.0001,0.0001,momentum,0.9,0.3070833333333333,0.33666666666666667,8.585251555339626
sigmoid,"[128, 128, 128]",0.001,0.5,0.0001,0.0001,momentum,0.99,0.34,0.33666666666666667,7.01677829024672
sigmoid,"[128, 128, 128]",0.001,0.5,0.0001,0.01,adam,0.0,0.41,0.38333333333333336,90.65822675174225
sigmoid,"[128, 128, 128]",0.001,0.5,0.0001,0.01,momentum,0.9,0.33666666666666667,0.3333333333333333,121.38686190109748
sigmoid,"[128, 128, 128]",0.001,0.5,0.0001,0.01,momentum,0.99,0.336875,0.33166666666666667,121.02820381898583
sigmoid,"[128, 128, 128]",0.0001,0.0,0.0,0.0,adam,0.0,0.483125,0.44666666666666666,1.0511313969131513
sigmoid,"[128, 128, 128]",0.0001,0.0,0.0,0.0,momentum,0.9,0.3333333333333333,0.3333333333333333,5.314435234922506
sigmoid,"[128, 128, 128]",0.0001,0.0,0.0,0.0,momentum,0.99,0.3333333333333333,0.3333333333333333,6.025249040801355
sigmoid,"[128, 128, 128]",0.0001,0.0,0.0,0.0001,adam,0.0,0.4352083333333333,0.4216666666666667,2.329826974706185
sigmoid,"[128, 128, 128]",0.0001,0.0,0.0,0.0001,momentum,0.9,0.3672916666666667,0.37166666666666665,4.493426653940188
sigmoid,"[128, 128, 128]",0.0001,0.0,0.0,0.0001,momentum,0.99,0.3279166666666667,0.325,3.232081780817624
sigmoid,"[128, 128, 128]",0.0001,0.0,0.0,0.01,adam,0.0,0.3120833333333333,0.3283333333333333,114.51022468229152
sigmoid,"[128, 128, 128]",0.0001,0.0,0.0,0.01,momentum,0.9,0.3375,0.3466666666666667,119.38536478698259
sigmoid,"[128, 128, 128]",0.0001,0.0,0.0,0.01,momentum,0.99,0.3333333333333333,0.3333333333333333,123.78308702236419
sigmoid,"[128, 128, 128]",0.0001,0.0,0.0001,0.0,adam,0.0,0.5220833333333333,0.51,2.6884336466647056
sigmoid,"[128, 128, 128]",0.0001,0.0,0.0001,0.0,momentum,0.9,0.3389583333333333,0.3433333333333333,5.8788291374898565
sigmoid,"[128, 128, 128]",0.0001,0.0,0.0001,0.0,momentum,0.99,0.3775,0.3516666666666667,3.3306472151275113
sigmoid,"[128, 128, 128]",0.0001,0.0,0.0001,0.0001,adam,0.0,0.33166666666666667,0.3333333333333333,5.407508672531489
sigmoid,"[128, 128, 128]",0.0001,0.0,0.0001,0.0001,momentum,0.9,0.33229166666666665,0.33166666666666667,7.153333671052133
sigmoid,"[128, 128, 128]",0.0001,0.0,0.0001,0.0001,momentum,0.99,0.3329166666666667,0.33,5.991513403621372
sigmoid,"[128, 128, 128]",0.0001,0.0,0.0001,0.01,adam,0.0,0.42354166666666665,0.4,114.50875256977704
sigmoid,"[128, 128, 128]",0.0001,0.0,0.0001,0.01,momentum,0.9,0.33708333333333335,0.3333333333333333,120.08520134309614
sigmoid,"[128, 128, 128]",0.0001,0.0,0.0001,0.01,momentum,0.99,0.28875,0.27666666666666667,119.78969309830119
sigmoid,"[128, 128, 128]",0.0001,0.5,0.0,0.0,adam,0.0,0.3525,0.3416666666666667,5.300329560105905
sigmoid,"[128, 128, 128]",0.0001,0.5,0.0,0.0,momentum,0.9,0.3333333333333333,0.3333333333333333,6.959374979481745
sigmoid,"[128, 128, 128]",0.0001,0.5,0.0,0.0,momentum,0.99,0.33208333333333334,0.315,6.469211680517154
sigmoid,"[128, 128, 128]",0.0001,0.5,0.0,0.0001,adam,0.0,0.41770833333333335,0.415,5.051971274424307
sigmoid,"[128, 128, 128]",0.0001,0.5,0.0,0.0001,momentum,0.9,0.3333333333333333,0.3333333333333333,7.891025764361451
sigmoid,"[128, 128, 128]",0.0001,0.5,0.0,0.0001,momentum,0.99,0.33375,0.3333333333333333,6.456184603516935
sigmoid,"[128, 128, 128]",0.0001,0.5,0.0,0.01,adam,0.0,0.2791666666666667,0.25666666666666665,116.42226544178122
sigmoid,"[128, 128, 128]",0.0001,0.5,0.0,0.01,momentum,0.9,0.36375,0.35833333333333334,120.68325258765796
sigmoid,"[128, 128, 128]",0.0001,0.5,0.0,0.01,momentum,0.99,0.3333333333333333,0.3333333333333333,122.2083831243898
sigmoid,"[128, 128, 128]",0.0001,0.5,0.0001,0.0,adam,0.0,0.3770833333333333,0.35333333333333333,6.940868628881855
sigmoid,"[128, 128, 128]",0.0001,0.5,0.0001,0.0,momentum,0.9,0.33229166666666665,0.33166666666666667,7.519593427960721
sigmoid,"[128, 128, 128]",0.0001,0.5,0.0001,0.0,momentum,0.99,0.3675,0.36666666666666664,6.182659733392345
sigmoid,"[128, 128, 128]",0.0001,0.5,0.0001,0.0001,adam,0.0,0.42354166666666665,0.4066666666666667,7.424194197304032
sigmoid,"[128, 128, 128]",0.0001,0.5,0.0001,0.0001,momentum,0.9,0.3333333333333333,0.3333333333333333,9.073010201453652
