activation,hidden_nodes,lr,dropout,lambda1,lambda2,optimizer,momentum,train_acc,val_acc,final_loss
sigmoid,"[32, 32]",0.001,0.5,0.001,0.0,momentum,0.8,0.5529891304347826,0.5543478260869565,3.24748664026034
sigmoid,"[32, 32]",0.001,0.5,0.001,0.0,momentum,0.9,0.47282608695652173,0.4782608695652174,2.9871275965921753
sigmoid,"[32, 32]",0.001,0.5,0.001,0.0,momentum,0.99,0.6005434782608695,0.6630434782608695,2.3024207985789698
sigmoid,"[32, 32]",0.001,0.5,0.001,0.0001,adam,0.0,0.6141304347826086,0.5869565217391305,2.4849174291170524
sigmoid,"[32, 32]",0.001,0.5,0.001,0.0001,momentum,0.8,0.5353260869565217,0.5108695652173914,3.0574181247692644
sigmoid,"[32, 32]",0.001,0.5,0.001,0.0001,momentum,0.9,0.44565217391304346,0.43478260869565216,2.875818066872286
sigmoid,"[32, 32]",0.001,0.5,0.001,0.0001,momentum,0.99,0.37228260869565216,0.3804347826086957,3.203580468873914
sigmoid,"[32, 32]",0.001,0.5,0.001,0.001,adam,0.0,0.5788043478260869,0.6195652173913043,2.764646416822286
sigmoid,"[32, 32]",0.001,0.5,0.001,0.001,momentum,0.8,0.2418478260869565,0.2391304347826087,3.905335618375268
sigmoid,"[32, 32]",0.001,0.5,0.001,0.001,momentum,0.9,0.0,0.0,5.88243839458519
sigmoid,"[32, 32]",0.001,0.5,0.001,0.001,momentum,0.99,0.5516304347826086,0.5543478260869565,3.8626816190760036
sigmoid,"[32, 32]",0.001,0.5,0.001,0.01,adam,0.0,0.39266304347826086,0.3804347826086957,8.274859580092452
sigmoid,"[32, 32]",0.001,0.5,0.001,0.01,momentum,0.8,0.004076086956521739,0.021739130434782608,10.481538968830229
sigmoid,"[32, 32]",0.001,0.5,0.001,0.01,momentum,0.9,0.452445652173913,0.4673913043478261,10.041294243040998
sigmoid,"[32, 32]",0.001,0.5,0.001,0.01,momentum,0.99,0.375,0.44565217391304346,10.011757915516068
sigmoid,"[32, 32]",0.0001,0.0,0.0,0.0,adam,0.0,0.059782608695652176,0.021739130434782608,1.6753873744865093
sigmoid,"[32, 32]",0.0001,0.0,0.0,0.0,momentum,0.8,0.05298913043478261,0.021739130434782608,2.261927441191282
sigmoid,"[32, 32]",0.0001,0.0,0.0,0.0,momentum,0.9,0.23369565217391305,0.2608695652173913,1.6761704361500702
sigmoid,"[32, 32]",0.0001,0.0,0.0,0.0,momentum,0.99,0.11413043478260869,0.14130434782608695,1.7166858915449368
sigmoid,"[32, 32]",0.0001,0.0,0.0,0.0001,adam,0.0,0.024456521739130436,0.043478260869565216,2.138049645643664
sigmoid,"[32, 32]",0.0001,0.0,0.0,0.0001,momentum,0.8,0.5475543478260869,0.5434782608695652,1.5011836383143629
sigmoid,"[32, 32]",0.0001,0.0,0.0,0.0001,momentum,0.9,0.4320652173913043,0.4673913043478261,1.918912171608987
sigmoid,"[32, 32]",0.0001,0.0,0.0,0.0001,momentum,0.99,0.4470108695652174,0.44565217391304346,2.0783038885799754
sigmoid,"[32, 32]",0.0001,0.0,0.0,0.001,adam,0.0,0.6657608695652174,0.75,1.452801983644916
sigmoid,"[32, 32]",0.0001,0.0,0.0,0.001,momentum,0.8,0.5339673913043478,0.5217391304347826,2.0395632722355677
sigmoid,"[32, 32]",0.0001,0.0,0.0,0.001,momentum,0.9,0.5529891304347826,0.5543478260869565,1.8930160173708748
sigmoid,"[32, 32]",0.0001,0.0,0.0,0.001,momentum,0.99,0.421195652173913,0.40217391304347827,2.438590608153178
sigmoid,"[32, 32]",0.0001,0.0,0.0,0.01,adam,0.0,0.5529891304347826,0.5543478260869565,7.808123721364286
sigmoid,"[32, 32]",0.0001,0.0,0.0,0.01,momentum,0.8,0.5529891304347826,0.5543478260869565,8.446520163953341
sigmoid,"[32, 32]",0.0001,0.0,0.0,0.01,momentum,0.9,0.025815217391304348,0.010869565217391304,8.60217542040011
sigmoid,"[32, 32]",0.0001,0.0,0.0,0.01,momentum,0.99,0.002717391304347826,0.010869565217391304,9.041274523819624
sigmoid,"[32, 32]",0.0001,0.0,0.0001,0.0,adam,0.0,0.6820652173913043,0.7391304347826086,0.8474050622493275
sigmoid,"[32, 32]",0.0001,0.0,0.0001,0.0,momentum,0.8,0.30027173913043476,0.2826086956521739,1.3684690914153677
sigmoid,"[32, 32]",0.0001,0.0,0.0001,0.0,momentum,0.9,0.48641304347826086,0.40217391304347827,0.9981897387883001
sigmoid,"[32, 32]",0.0001,0.0,0.0001,0.0,momentum,0.99,0.5529891304347826,0.5543478260869565,1.8573288200868046
sigmoid,"[32, 32]",0.0001,0.0,0.0001,0.0001,adam,0.0,0.4782608695652174,0.391304347826087,0.9589377736158307
sigmoid,"[32, 32]",0.0001,0.0,0.0001,0.0001,momentum,0.8,0.0,0.0,4.395703359000774
sigmoid,"[32, 32]",0.0001,0.0,0.0001,0.0001,momentum,0.9,0.22146739130434784,0.22826086956521738,1.7104798378178305
sigmoid,"[32, 32]",0.0001,0.0,0.0001,0.0001,momentum,0.99,0.5244565217391305,0.5217391304347826,1.3628335800598599
sigmoid,"[32, 32]",0.0001,0.0,0.0001,0.001,adam,0.0,0.04891304347826087,0.07608695652173914,3.394430871019932
sigmoid,"[32, 32]",0.0001,0.0,0.0001,0.001,momentum,0.8,0.4470108695652174,0.45652173913043476,2.7020358588022173
sigmoid,"[32, 32]",0.0001,0.0,0.0001,0.001,momentum,0.9,0.001358695652173913,0.0,3.2100878037274256
sigmoid,"[32, 32]",0.0001,0.0,0.0001,0.001,momentum,0.99,0.0,0.0,6.536771830933134
sigmoid,"[32, 32]",0.0001,0.0,0.0001,0.01,adam,0.0,0.4470108695652174,0.44565217391304346,8.853958971953407
sigmoid,"[32, 32]",0.0001,0.0,0.0001,0.01,momentum,0.8,0.4483695652173913,0.45652173913043476,8.337620966279621
sigmoid,"[32, 32]",0.0001,0.0,0.0001,0.01,momentum,0.9,0.5529891304347826,0.5543478260869565,8.327594625257328
sigmoid,"[32, 32]",0.0001,0.0,0.0001,0.01,momentum,0.99,0.2826086956521739,0.2826086956521739,10.101706821267626
sigmoid,"[32, 32]",0.0001,0.0,0.001,0.0,adam,0.0,0.44972826086956524,0.42391304347826086,2.4544629294926565
sigmoid,"[32, 32]",0.0001,0.0,0.001,0.0,momentum,0.8,0.38722826086956524,0.3804347826086957,2.9357909568207052
sigmoid,"[32, 32]",0.0001,0.0,0.001,0.0,momentum,0.9,0.5529891304347826,0.5543478260869565,2.426081385214159
sigmoid,"[32, 32]",0.0001,0.0,0.001,0.0,momentum,0.99,0.452445652173913,0.44565217391304346,2.2580642138667426
sigmoid,"[32, 32]",0.0001,0.0,0.001,0.0001,adam,0.0,0.5516304347826086,0.5543478260869565,2.7694068012731794
sigmoid,"[32, 32]",0.0001,0.0,0.001,0.0001,momentum,0.8,0.16168478260869565,0.10869565217391304,3.738011751244971
sigmoid,"[32, 32]",0.0001,0.0,0.001,0.0001,momentum,0.9,0.4782608695652174,0.5,2.644735522815395
sigmoid,"[32, 32]",0.0001,0.0,0.001,0.0001,momentum,0.99,0.25815217391304346,0.2608695652173913,2.9725603184887857
sigmoid,"[32, 32]",0.0001,0.0,0.001,0.001,adam,0.0,0.07880434782608696,0.03260869565217391,3.5748711541564675
sigmoid,"[32, 32]",0.0001,0.0,0.001,0.001,momentum,0.8,0.5529891304347826,0.5543478260869565,2.737181593469188
sigmoid,"[32, 32]",0.0001,0.0,0.001,0.001,momentum,0.9,0.4470108695652174,0.44565217391304346,3.0872905436819504
sigmoid,"[32, 32]",0.0001,0.0,0.001,0.001,momentum,0.99,0.0,0.0,4.207881714106896
sigmoid,"[32, 32]",0.0001,0.0,0.001,0.01,adam,0.0,0.3179347826086957,0.31521739130434784,9.644009756158017
sigmoid,"[32, 32]",0.0001,0.0,0.001,0.01,momentum,0.8,0.0,0.0,13.717577525167915
sigmoid,"[32, 32]",0.0001,0.0,0.001,0.01,momentum,0.9,0.5529891304347826,0.5543478260869565,9.227042355892442
sigmoid,"[32, 32]",0.0001,0.0,0.001,0.01,momentum,0.99,0.03940217391304348,0.06521739130434782,10.12781208146103
sigmoid,"[32, 32]",0.0001,0.2,0.0,0.0,adam,0.0,0.09918478260869565,0.10869565217391304,2.0294466815059136
sigmoid,"[32, 32]",0.0001,0.2,0.0,0.0,momentum,0.8,0.024456521739130436,0.03260869565217391,2.638193838623213
sigmoid,"[32, 32]",0.0001,0.2,0.0,0.0,momentum,0.9,0.2608695652173913,0.2608695652173913,1.5052682275236564
sigmoid,"[32, 32]",0.0001,0.2,0.0,0.0,momentum,0.99,0.0,0.0,3.3536986594316254
sigmoid,"[32, 32]",0.0001,0.2,0.0,0.0001,adam,0.0,0.44972826086956524,0.44565217391304346,1.859370688850004
sigmoid,"[32, 32]",0.0001,0.2,0.0,0.0001,momentum,0.8,0.04619565217391304,0.043478260869565216,3.1469145895987944
sigmoid,"[32, 32]",0.0001,0.2,0.0,0.0001,momentum,0.9,0.421195652173913,0.33695652173913043,1.5010421202367157
sigmoid,"[32, 32]",0.0001,0.2,0.0,0.0001,momentum,0.99,0.4470108695652174,0.44565217391304346,1.9850758423241714
sigmoid,"[32, 32]",0.0001,0.2,0.0,0.001,adam,0.0,0.5529891304347826,0.5543478260869565,3.236105780938324
sigmoid,"[32, 32]",0.0001,0.2,0.0,0.001,momentum,0.8,0.07336956521739131,0.08695652173913043,3.080384760712415
sigmoid,"[32, 32]",0.0001,0.2,0.0,0.001,momentum,0.9,0.40625,0.391304347826087,2.0382549844064908
sigmoid,"[32, 32]",0.0001,0.2,0.0,0.001,momentum,0.99,0.46059782608695654,0.4782608695652174,1.8400191093291967
sigmoid,"[32, 32]",0.0001,0.2,0.0,0.01,adam,0.0,0.5176630434782609,0.5543478260869565,8.338210632618987
sigmoid,"[32, 32]",0.0001,0.2,0.0,0.01,momentum,0.8,0.35597826086956524,0.30434782608695654,8.277041493295936
sigmoid,"[32, 32]",0.0001,0.2,0.0,0.01,momentum,0.9,0.02309782608695652,0.010869565217391304,8.897472526486291
sigmoid,"[32, 32]",0.0001,0.2,0.0,0.01,momentum,0.99,0.36820652173913043,0.3804347826086957,8.751480610757612
sigmoid,"[32, 32]",0.0001,0.2,0.0001,0.0,adam,0.0,0.12771739130434784,0.16304347826086957,2.0528643160183226
sigmoid,"[32, 32]",0.0001,0.2,0.0001,0.0,momentum,0.8,0.5122282608695652,0.4782608695652174,1.4327589100457492
sigmoid,"[32, 32]",0.0001,0.2,0.0001,0.0,momentum,0.9,0.42934782608695654,0.44565217391304346,1.7259613019021873
sigmoid,"[32, 32]",0.0001,0.2,0.0001,0.0,momentum,0.99,0.5529891304347826,0.5543478260869565,2.9872055381682103
sigmoid,"[32, 32]",0.0001,0.2,0.0001,0.0001,adam,0.0,0.3967391304347826,0.391304347826087,1.5522629229551408
